scenario_num,scenario_type,scenario_type_intensity,collisions_vehicle,collisions_layout,outside_route_lanes,outside_route_lanes_average,meta_duration_game,meta_duration_system,meta_route_length,scores_score_composed,scores_score_penalty,scores_score_route,status
106,haze,2,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.45  y=-69.025  z=0.035),,,0.0,5.200000077486038,64.72204780578613,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
101,haze,7,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.484  y=-69.073  z=0.035),,,0.0,5.125000076368451,55.71385836601257,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
110,shade,3,,,,0.0,15.400000229477882,171.85045742988586,131.55983352661133,42.0592983405717,1.0,42.0592983405717,Failed
103,rain,0,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.41  y=-69.008  z=0.035),,,0.0,5.325000079348683,66.29516196250916,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
106,rain,5,,Agent collided against object with type=static.wall and id=0 at (x=182.722  y=-64.909  z=0.148),Agent went outside its route lanes for about 6.0 meters (28.41% of the completed route),28.41,7.625000113621354,97.43259835243225,131.55983352661133,7.498541511376667,0.4653235508063713,16.114682995052043,Failed
101,rain,5,,Agent collided against object with type=static.wall and id=0 at (x=182.74  y=-64.814  z=0.152),Agent went outside its route lanes for about 6.0 meters (28.41% of the completed route),28.41,7.550000112503767,95.72781014442444,131.55983352661133,7.498541511376667,0.4653235508063713,16.114682995052043,Failed
106,haze,3,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.45  y=-68.997  z=0.035),,,0.0,5.200000077486038,66.0248670578003,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
107,haze,9,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.445  y=-69.145  z=0.035),,,0.0,5.050000075250864,56.21555542945862,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
107,shade,2,,,,0.0,15.325000228360295,171.82774710655212,131.55983352661133,42.0592983405717,1.0,42.0592983405717,Failed
105,haze,6,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.485  y=-69.012  z=0.035),,,0.0,5.125000076368451,56.43358564376831,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
100,rain,1,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.334  y=-68.996  z=0.035),,,0.0,5.275000078603625,66.84314513206482,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
100,haze,9,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.445  y=-69.043  z=0.035),,,0.0,5.050000075250864,56.54570698738098,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
108,haze,4,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.458  y=-69.087  z=0.035),,,0.0,5.15000007674098,56.19162154197693,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
101,rain,6,,Agent collided against object with type=static.wall and id=0 at (x=182.877  y=-67.995  z=0.137),Agent went outside its route lanes for about 5.0 meters (27.6% of the completed route),27.6,6.900000102818012,87.6397647857666,131.55983352661133,6.506542010240724,0.47062052122348025,13.825453240597234,Failed
108,haze,1,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.442  y=-69.005  z=0.035),,,0.0,5.250000078231096,66.73972368240356,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
108,haze,7,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.485  y=-69.073  z=0.035),,,0.0,5.125000076368451,57.41626286506653,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
104,haze,5,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.478  y=-69.098  z=0.035),,,0.0,5.100000075995922,56.24370265007019,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
100,rain,8,,Agent collided against object with type=static.wall and id=0 at (x=182.847  y=-61.929  z=0.143),Agent went outside its route lanes for about 5.0 meters (20.73% of the completed route),20.73,8.450000125914812,120.25268483161926,131.55983352661133,9.48254444564789,0.5152461096025344,18.403912749506855,Failed
110,rain,3,,,Agent went outside its route lanes for about 6.0 meters (11.74% of the completed route),11.74,13.65000020340085,171.76232719421387,131.55983352661133,34.42852662509097,0.8826244972756031,39.00699191033276,Failed
107,haze,1,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.443  y=-69.005  z=0.035),,,0.0,5.250000078231096,66.43028020858765,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
102,rain,8,,Agent collided against object with type=static.wall and id=0 at (x=182.855  y=-62.363  z=0.142),Agent went outside its route lanes for about 4.0 meters (17.3% of the completed route),17.3,8.350000124424696,114.43104887008667,131.55983352661133,9.482544445647887,0.5375337275780814,17.640836210171514,Failed
101,rain,2,,,,0.0,14.225000211969018,171.92333579063416,131.55983352661133,38.2439125055728,1.0,38.2439125055728,Failed
108,haze,2,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.449  y=-69.042  z=0.035),,,0.0,5.200000077486038,65.55635666847229,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
108,rain,2,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=191.433  y=-68.774  z=0.035),,,0.0,5.775000086054206,75.85824394226074,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
109,haze,9,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.449  y=-69.121  z=0.035),,,0.0,5.050000075250864,55.805195808410645,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
101,haze,5,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.477  y=-69.058  z=0.035),,,0.0,5.125000076368451,57.32307291030884,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
107,haze,5,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.479  y=-69.102  z=0.035),,,0.0,5.100000075995922,55.92982244491577,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
103,haze,0,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.451  y=-69.008  z=0.035),,,0.0,5.325000079348683,65.01148557662964,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
102,haze,8,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.402  y=-69.116  z=0.035),,,0.0,5.075000075623393,57.572468996047974,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
105,rain,9,,Agent collided against object with type=static.wall and id=0 at (x=182.459  y=-53.114  z=0.148),Agent went outside its route lanes for about 9.0 meters (27.18% of the completed route),27.18,9.900000147521496,137.72057032585144,131.55983352661133,11.962543287179455,0.4733590117004783,25.271607789203454,Failed
107,haze,2,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.448  y=-69.005  z=0.035),,,0.0,5.250000078231096,67.27711606025696,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
110,shade,4,,,,0.0,15.250000227242708,171.66162729263306,131.55983352661133,41.29622166478757,1.0,41.29622166478757,Failed
109,shade,1,,,,0.0,15.550000231713057,171.72910237312317,131.55983352661133,42.0592983405717,1.0,42.0592983405717,Failed
103,haze,7,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.485  y=-69.072  z=0.035),,,0.0,5.125000076368451,55.67132639884949,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
103,haze,1,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.443  y=-69.005  z=0.035),,,0.0,5.250000078231096,63.7628607749939,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
107,rain,8,,Agent collided against object with type=static.wall and id=0 at (x=182.865  y=-62.085  z=0.143),Agent went outside its route lanes for about 5.0 meters (20.73% of the completed route),20.73,8.400000125169754,113.87062907218933,131.55983352661133,9.48254444564789,0.5152461096025344,18.403912749506855,Failed
101,shade,4,,,,0.0,15.500000230967999,171.6784029006958,131.55983352661133,42.82237487990704,1.0,42.82237487990704,Failed
106,haze,9,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.455  y=-69.16  z=0.035),,,0.0,5.050000075250864,62.01935911178589,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
110,rain,5,,Agent collided against object with type=static.wall and id=0 at (x=182.719  y=-64.621  z=0.148),Agent went outside its route lanes for about 6.0 meters (28.41% of the completed route),28.41,7.650000113993883,97.92741298675537,131.55983352661133,7.498541511376667,0.4653235508063713,16.114682995052043,Failed
106,shade,9,,,,0.0,16.4500002451241,171.7136631011963,131.55983352661133,45.87468258366803,1.0,45.87468258366803,Failed
104,shade,2,,,,0.0,15.350000228732824,171.77945685386658,131.55983352661133,42.0592983405717,1.0,42.0592983405717,Failed
102,rain,7,,Agent collided against object with type=static.wall and id=0 at (x=182.893  y=-65.395  z=0.138),Agent went outside its route lanes for about 4.0 meters (19.88% of the completed route),19.88,7.525000112131238,104.1409559249878,131.55983352661133,7.994541350636351,0.520762525648207,15.351606455716706,Failed
108,rain,1,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.333  y=-69.019  z=0.035),,,0.0,5.225000077858567,71.40369629859924,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
109,shade,8,,,,0.0,16.50000024586916,171.7947292327881,131.55983352661133,45.87468258366803,1.0,45.87468258366803,Failed
102,shade,1,,,,0.0,15.675000233575702,171.85953330993652,131.55983352661133,42.0592983405717,1.0,42.0592983405717,Failed
108,shade,5,,,,0.0,16.25000024214387,171.86086630821228,131.55983352661133,45.111606044332696,1.0,45.111606044332696,Failed
100,haze,2,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.448  y=-69.005  z=0.035),,,0.0,5.250000078231096,66.72822117805481,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
108,shade,4,,,,0.0,15.22500022687018,171.89023780822754,131.55983352661133,41.29622166478757,1.0,41.29622166478757,Failed
109,shade,0,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=191.82  y=-69.085  z=0.033),,,0.0,5.225000077858567,65.9871141910553,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
105,shade,4,,,,0.0,15.350000228732824,171.90841031074524,131.55983352661133,42.0592983405717,1.0,42.0592983405717,Failed
104,shade,3,,,,0.0,15.375000229105353,171.6589858531952,131.55983352661133,42.0592983405717,1.0,42.0592983405717,Failed
110,shade,6,,,,0.0,16.325000243261456,171.70031714439392,131.55983352661133,45.111606044332696,1.0,45.111606044332696,Failed
103,haze,4,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.458  y=-69.087  z=0.035),,,0.0,5.15000007674098,56.19986438751221,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
110,shade,8,,,,0.0,16.52500024624169,171.7413682937622,131.55983352661133,45.87468258366803,1.0,45.87468258366803,Failed
105,shade,2,,,,0.0,15.72500023432076,171.775803565979,131.55983352661133,43.58545141924238,1.0,43.58545141924238,Failed
108,shade,0,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=191.82  y=-69.085  z=0.033),,,0.0,5.225000077858567,65.34124612808228,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
100,shade,0,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=191.82  y=-69.085  z=0.033),,,0.0,5.225000077858567,63.910869121551514,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
101,rain,0,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.409  y=-69.008  z=0.035),,,0.0,5.325000079348683,67.86973834037781,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
110,shade,9,,,,0.0,16.25000024214387,171.6723277568817,131.55983352661133,45.111606044332696,1.0,45.111606044332696,Failed
108,rain,4,,Agent collided against object with type=static.wall and id=0 at (x=182.496  y=-57.055  z=0.148),Agent went outside its route lanes for about 9.0 meters (30.91% of the completed route),30.91,8.75000013038516,119.25036835670471,131.55983352661133,9.978544196215859,0.4490936311562136,22.219295719081135,Failed
102,rain,2,,,,0.0,14.575000217184424,171.64522051811218,131.55983352661133,39.00699191033276,1.0,39.00699191033276,Failed
102,rain,0,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.41  y=-69.008  z=0.035),,,0.0,5.325000079348683,66.46009182929993,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
106,haze,8,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.4  y=-69.112  z=0.035),,,0.0,5.075000075623393,57.07256197929382,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
